82.99.203.76,82.99.203.76.parsonline.net
179.191.15.59,179-191-15-59.atalink.com.br
187.19.205.226,187-19-205-226-tmp.static.brisanet.net.br
192.241.238.67,zg-0915b-191.stretchoid.com
200.146.229.129,200-146-229-129.xf-static.ctbcnetsuper.com.br
192.99.110.164,192.a-ddos-bhs.96.22.96.efo-4.heavyhost.net
27.123.3.138,ip123-3-138.tgg.net.id
190.74.79.161,190.74-79-161.dyn.dsl.cantv.net
86.100.63.127,86-100-63-127-ip.balticum.lt
82.147.120.32,32.120.147.82.clb.enforta.com
77.244.26.125,77-244-26-125.westcall.net
149.56.84.18,hosted-by.heavyhost.net
181.166.106.224,224-106-166-181.fibertel.com.ar
177.46.147.94,STC147-94.static.tesa.net.br
82.177.87.98,82-177-87-98.r-link.pl
104.129.24.125,104.129.24.125.static.quadranet.com
118.127.101.106,118-127-96-106.static.spirit.net.au
210.215.133.63,CPE-210-215-133-63.syd.lnk.nexon.com.au
