103.127.18.2:0	192.168.13.10-192.168.13.10(0:0)
103.127.18.1:0	192.168.12.200-192.168.12.200(0:0)
103.127.18.3:0	192.168.13.11-192.168.13.11(0:0)
103.127.18.4:0	192.168.13.201-192.168.13.201(0:0)
103.127.18.5:0	192.168.13.13-192.168.13.13(0:0)
103.127.18.6:0	192.168.13.171-192.168.13.171(0:0)
103.127.18.7:0	192.168.13.14-192.168.13.14(0:0)
103.127.18.8:0	192.168.13.15-192.168.13.15(0:0)
103.127.18.9:0	192.168.13.16-192.168.13.16(0:0)
103.127.18.10:0	192.168.13.17-192.168.13.17(0:0)
103.127.18.11:0	192.168.13.18-192.168.13.18(0:0)
103.127.18.12:0	192.168.13.19-192.168.13.19(0:0)
103.127.18.13:0	192.168.12.15-192.168.12.15(0:0)
103.127.18.14:0	192.168.12.10-192.168.12.10(0:0)
103.127.18.37:0	192.168.13.32-192.168.13.32(0:0)
103.127.18.19:0	192.168.13.20-192.168.13.20(0:0)
103.127.18.17:0	192.168.12.14-192.168.12.14(0:0)
103.127.18.21:0	192.168.12.17-192.168.12.17(0:0)
103.127.18.22:0	192.168.12.19-192.168.12.19(0:0)
103.127.18.23:0	192.168.12.20-192.168.12.20(0:0)
103.127.18.24:0	192.168.12.21-192.168.12.21(0:0)
103.127.18.26:0	192.168.13.23-192.168.13.23(0:0)
103.127.18.27:0	192.168.13.24-192.168.13.24(0:0)
103.127.18.28:0	192.168.13.203-192.168.13.203(0:0)
103.127.18.29:0	192.168.13.25-192.168.13.25(0:0)
103.127.18.33:0	192.168.13.27-192.168.13.27(0:0)
103.127.18.34:0	192.168.13.28-192.168.13.28(0:0)
103.127.18.35:0	192.168.12.203-192.168.12.203(0:0)
103.127.18.244:0	192.168.50.244-192.168.50.244(0:0)
103.127.18.243:0	192.168.50.243-192.168.50.243(0:0)
103.127.18.36:0	192.168.13.29-192.168.13.29(0:0)
103.127.18.91:0	192.168.50.91-192.168.50.91(0:0)
103.127.18.92:0	192.168.50.92-192.168.50.92(0:0)
103.127.18.93:0	192.168.50.93-192.168.50.93(0:0)
103.127.18.245:0	192.168.50.245-192.168.50.245(0:0)
103.127.18.246:0	192.168.50.246-192.168.50.246(0:0)
103.127.18.94:0	192.168.50.94-192.168.50.94(0:0)
103.127.18.95:0	192.168.50.95-192.168.50.95(0:0)
103.127.18.96:0	192.168.50.96-192.168.50.96(0:0)
103.127.18.97:0	192.168.50.97-192.168.50.97(0:0)
103.127.18.98:0	192.168.50.98-192.168.50.98(0:0)
103.127.18.99:0	192.168.50.99-192.168.50.99(0:0)
103.127.18.100:0	192.168.50.100-192.168.50.100(0:0)
103.127.18.141:0	192.168.50.141-192.168.50.141(0:0)
103.127.18.101:0	192.168.50.101-192.168.50.101(0:0)
103.127.18.102:0	192.168.50.102-192.168.50.102(0:0)
103.127.18.103:0	192.168.50.103-192.168.50.103(0:0)
103.127.18.104:0	192.168.13.104-192.168.13.104(0:0)
103.127.18.106:0	192.168.50.106-192.168.50.106(0:0)
103.127.18.107:0	192.168.50.107-192.168.50.107(0:0)
103.127.18.108:0	192.168.50.108-192.168.50.108(0:0)
103.127.18.109:0	192.168.50.109-192.168.50.109(0:0)
103.127.18.110:0	192.168.50.110-192.168.50.110(0:0)
103.127.18.111:0	192.168.50.111-192.168.50.111(0:0)
103.127.18.112:0	192.168.50.112-192.168.50.112(0:0)
103.127.18.113:0	192.168.50.113-192.168.50.113(0:0)
103.127.18.114:0	192.168.50.114-192.168.50.114(0:0)
103.127.18.115:0	192.168.50.115-192.168.50.115(0:0)
103.127.18.116:0	192.168.50.116-192.168.50.116(0:0)
103.127.18.117:0	192.168.50.117-192.168.50.117(0:0)
103.127.18.118:0	192.168.50.118-192.168.50.118(0:0)
103.127.18.119:0	192.168.50.119-192.168.50.119(0:0)
103.127.18.120:0	192.168.50.120-192.168.50.120(0:0)
103.127.18.121:0	192.168.50.121-192.168.50.121(0:0)
103.127.18.122:0	192.168.50.122-192.168.50.122(0:0)
103.127.18.123:0	192.168.50.123-192.168.50.123(0:0)
103.127.18.124:0	192.168.50.124-192.168.50.124(0:0)
103.127.18.125:0	192.168.50.125-192.168.50.125(0:0)
103.127.18.126:0	192.168.50.126-192.168.50.126(0:0)
103.127.18.127:0	192.168.50.127-192.168.50.127(0:0)
103.127.18.128:0	192.168.50.128-192.168.50.128(0:0)
103.127.18.129:0	192.168.50.129-192.168.50.129(0:0)
103.127.18.130:0	192.168.50.130-192.168.50.130(0:0)
103.127.18.131:0	192.168.50.131-192.168.50.131(0:0)
103.127.18.132:0	192.168.50.132-192.168.50.132(0:0)
103.127.18.133:0	192.168.50.133-192.168.50.133(0:0)
103.127.18.134:0	192.168.50.134-192.168.50.134(0:0)
103.127.18.135:0	192.168.50.135-192.168.50.135(0:0)
103.127.18.136:0	192.168.50.136-192.168.50.136(0:0)
103.127.18.137:0	192.168.50.137-192.168.50.137(0:0)
103.127.18.138:0	192.168.50.138-192.168.50.138(0:0)
103.127.18.139:0	192.168.50.139-192.168.50.139(0:0)
103.127.18.140:0	192.168.50.140-192.168.50.140(0:0)
103.127.18.142:0	192.168.50.142-192.168.50.142(0:0)
